date,level,message
2024-08-13,INFO,URL opened successfully
2024-08-13,INFO,Accepted cookies successfully
2024-08-13,INFO,Flight details page clicked
2024-08-13,INFO,Flight details page loaded successfully
2024-08-13,INFO,Transit duration extracted
2024-08-13,INFO,Results saved to results/results_QatarAirways.csv
2024-08-13,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-13,INFO,Flight data URL constructed successfully
2024-08-13,INFO,Flight data URL constructed successfully
2024-08-13,INFO,Selenium WebDriver for QatarAirways started (FRA - IST)
2024-08-13,INFO,URL opened successfully
2024-08-13,INFO,Accepted cookies successfully
2024-08-13,INFO,Flight details page clicked
2024-08-13,INFO,Flight details page loaded successfully
2024-08-13,INFO,Transit duration extracted
2024-08-13,INFO,Results saved to results/results_QatarAirways.csv
2024-08-13,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-13,INFO,Flight data URL constructed successfully
2024-08-13,INFO,Flight data URL constructed successfully
2024-08-13,INFO,Selenium WebDriver for QatarAirways started (FRA - DXB)
2024-08-13,INFO,URL opened successfully
2024-08-13,INFO,Accepted cookies successfully
2024-08-13,INFO,Flight details page clicked
2024-08-13,INFO,Flight details page loaded successfully
2024-08-13,INFO,Transit duration extracted
2024-08-13,INFO,Results saved to results/results_QatarAirways.csv
2024-08-13,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-13,INFO,Flight data URL constructed successfully
2024-08-14,INFO,Flight data URL constructed successfully
2024-08-14,INFO,Selenium WebDriver for QatarAirways started (FRA - BER)
2024-08-14,INFO,URL opened successfully
2024-08-14,INFO,Accepted cookies successfully
2024-08-14,INFO,Flight details page clicked
2024-08-14,INFO,Flight details page loaded successfully
2024-08-14,INFO,Transit duration extracted
2024-08-14,INFO,Results saved to results/results_QatarAirways.csv
2024-08-14,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-14,INFO,Flight data URL constructed successfully
2024-08-14,INFO,Flight data URL constructed successfully
2024-08-14,INFO,Selenium WebDriver for QatarAirways started (FRA - HAM)
2024-08-14,INFO,URL opened successfully
2024-08-14,INFO,Accepted cookies successfully
2024-08-14,INFO,Flight details page clicked
2024-08-14,INFO,Flight details page loaded successfully
2024-08-14,INFO,Transit duration extracted
2024-08-14,INFO,Results saved to results/results_QatarAirways.csv
2024-08-14,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-14,INFO,Flight data URL constructed successfully
2024-08-14,INFO,Flight data URL constructed successfully
2024-08-14,INFO,Selenium WebDriver for QatarAirways started (FRA - LHR)
2024-08-14,INFO,URL opened successfully
2024-08-14,INFO,Accepted cookies successfully
2024-08-14,INFO,Flight details page clicked
2024-08-14,INFO,Flight details page loaded successfully
2024-08-14,INFO,Transit duration extracted
2024-08-14,INFO,Results saved to results/results_QatarAirways.csv
2024-08-14,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-14,INFO,Flight data URL constructed successfully
2024-08-14,INFO,Flight data URL constructed successfully
2024-08-14,INFO,Selenium WebDriver for QatarAirways started (FRA - IST)
2024-08-14,INFO,URL opened successfully
2024-08-14,INFO,Accepted cookies successfully
2024-08-14,INFO,Flight details page clicked
2024-08-14,INFO,Flight details page loaded successfully
2024-08-14,INFO,Transit duration extracted
2024-08-14,INFO,Results saved to results/results_QatarAirways.csv
2024-08-14,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-14,INFO,Flight data URL constructed successfully
2024-08-14,INFO,Flight data URL constructed successfully
2024-08-14,INFO,Selenium WebDriver for QatarAirways started (FRA - DXB)
2024-08-14,INFO,URL opened successfully
2024-08-14,INFO,Accepted cookies successfully
2024-08-14,INFO,Flight details page clicked
2024-08-14,INFO,Flight details page loaded successfully
2024-08-14,INFO,Transit duration extracted
2024-08-14,INFO,Results saved to results/results_QatarAirways.csv
2024-08-14,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-14,INFO,Flight data URL constructed successfully
2024-08-15,INFO,Flight data URL constructed successfully
2024-08-15,INFO,Selenium WebDriver for QatarAirways started (FRA - BER)
2024-08-15,INFO,URL opened successfully
2024-08-15,INFO,Accepted cookies successfully
2024-08-15,INFO,Flight details page clicked
2024-08-15,INFO,Flight details page loaded successfully
2024-08-15,INFO,Transit duration extracted
2024-08-15,INFO,Results saved to results/results_QatarAirways.csv
2024-08-15,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-15,INFO,Flight data URL constructed successfully
2024-08-15,INFO,Flight data URL constructed successfully
2024-08-15,INFO,Selenium WebDriver for QatarAirways started (FRA - HAM)
2024-08-15,INFO,URL opened successfully
2024-08-15,INFO,Accepted cookies successfully
2024-08-15,INFO,Flight details page clicked
2024-08-15,INFO,Flight details page loaded successfully
2024-08-15,INFO,Transit duration extracted
2024-08-15,INFO,Results saved to results/results_QatarAirways.csv
2024-08-15,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-15,INFO,Flight data URL constructed successfully
2024-08-15,INFO,Flight data URL constructed successfully
2024-08-15,INFO,Selenium WebDriver for QatarAirways started (FRA - LHR)
2024-08-15,INFO,URL opened successfully
2024-08-15,INFO,Accepted cookies successfully
2024-08-15,INFO,Flight details page clicked
2024-08-15,INFO,Flight details page loaded successfully
2024-08-15,INFO,Transit duration extracted
2024-08-15,INFO,Results saved to results/results_QatarAirways.csv
2024-08-15,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-15,INFO,Flight data URL constructed successfully
2024-08-15,INFO,Flight data URL constructed successfully
2024-08-15,INFO,Selenium WebDriver for QatarAirways started (FRA - IST)
2024-08-15,INFO,URL opened successfully
2024-08-15,INFO,Accepted cookies successfully
2024-08-15,INFO,Flight details page clicked
2024-08-15,INFO,Flight details page loaded successfully
2024-08-15,INFO,Transit duration extracted
2024-08-15,INFO,Results saved to results/results_QatarAirways.csv
2024-08-15,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-15,INFO,Flight data URL constructed successfully
2024-08-15,INFO,Flight data URL constructed successfully
2024-08-15,INFO,Selenium WebDriver for QatarAirways started (FRA - DXB)
2024-08-15,INFO,URL opened successfully
2024-08-15,INFO,Accepted cookies successfully
2024-08-15,INFO,Flight details page clicked
2024-08-15,INFO,Flight details page loaded successfully
2024-08-15,INFO,Transit duration extracted
2024-08-15,INFO,Results saved to results/results_QatarAirways.csv
2024-08-15,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-15,INFO,Flight data URL constructed successfully
2024-08-16,INFO,Flight data URL constructed successfully
2024-08-16,INFO,Selenium WebDriver for QatarAirways started (FRA - BER)
2024-08-16,INFO,URL opened successfully
2024-08-16,INFO,Accepted cookies successfully
2024-08-16,INFO,Flight details page clicked
2024-08-16,INFO,Flight details page loaded successfully
2024-08-16,INFO,Transit duration extracted
