,airline_name,crawling_date,departure_airport,destination_airport,date,travel_duration,departure_time,arrival_time,transit,transit_duration,price,tavg_departure,tmin_departure,tmax_departure,prcp_departure,wdir_departure,wspd_departure,wpgt_departure,pres_departure,tavg_destination,tmin_destination,tmax_destination,prcp_destination,wdir_destination,wspd_destination,wpgt_destination,pres_destination,Open,High,Low,Close,Adj Close,Volume
684,Lufthansa,2024-08-26,FRA,JFK,2024-08-27,11:30,07:50,13:20,True,01:25,1600.63,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,24.0,18.0,30.6,0.0,131.0,13.3,,1017.5,5.691999912261963,5.875999927520752,5.691999912261963,5.788000106811523,5.788000106811523,5012018.0
685,Lufthansa,2024-08-26,FRA,DXB,2024-08-27,11:15,07:50,21:05,True,03:55,1019.91,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,36.9,33.1,40.8,,11.0,12.1,,999.1,5.691999912261963,5.875999927520752,5.691999912261963,5.788000106811523,5.788000106811523,5012018.0
686,Lufthansa,2024-08-26,FRA,SAW,2024-08-27,03:00,09:05,13:05,False,00:00,243.65,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,26.4,23.4,30.0,0.5,35.0,17.1,,1011.6,5.691999912261963,5.875999927520752,5.691999912261963,5.788000106811523,5.788000106811523,5012018.0
687,Lufthansa,2024-08-26,FRA,BER,2024-08-27,01:10,14:45,15:55,False,00:00,333.6,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,19.2,12.0,26.5,0.0,120.0,9.5,25.9,1023.1,5.691999912261963,5.875999927520752,5.691999912261963,5.788000106811523,5.788000106811523,5012018.0
688,Lufthansa,2024-08-26,FRA,PMI,2024-08-27,02:05,10:20,12:25,False,00:00,315.98,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,24.6,20.0,29.6,0.0,159.0,9.8,,1015.8,5.691999912261963,5.875999927520752,5.691999912261963,5.788000106811523,5.788000106811523,5012018.0
689,Lufthansa,2024-08-26,FRA,LHR,2024-08-27,01:25,06:50,07:15,False,00:00,235.73,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,18.4,14.2,23.7,0.0,176.0,14.7,37.0,1017.7,5.691999912261963,5.875999927520752,5.691999912261963,5.788000106811523,5.788000106811523,5012018.0
690,Lufthansa,2024-08-26,FRA,LHR,2024-08-27,01:25,06:50,07:15,False,00:00,235.73,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,18.4,14.2,23.7,0.0,176.0,14.7,37.0,1017.7,5.691999912261963,5.875999927520752,5.691999912261963,5.788000106811523,5.788000106811523,5012018.0
691,Lufthansa,2024-08-26,FRA,HAM,2024-08-27,01:05,21:15,22:20,False,00:00,407.08,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,18.8,12.7,25.0,0.0,157.0,9.2,27.8,1022.7,5.691999912261963,5.875999927520752,5.691999912261963,5.788000106811523,5.788000106811523,5012018.0
692,Lufthansa,2024-08-26,FRA,BER,2024-08-27,01:10,14:45,15:55,False,00:00,333.6,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,19.2,12.0,26.5,0.0,120.0,9.5,25.9,1023.1,5.691999912261963,5.875999927520752,5.691999912261963,5.788000106811523,5.788000106811523,5012018.0
693,Lufthansa,2024-08-26,FRA,MUC,2024-08-27,00:55,15:15,16:10,False,00:00,369.0,20.1,12.9,27.0,0.0,54.0,10.0,22.2,1021.1,18.3,12.9,24.6,0.0,77.0,8.6,31.7,1019.9,5.691999912261963,5.875999927520752,5.691999912261963,5.788000106811523,5.788000106811523,5012018.0
