,airline_name,crawling_date,departure_airport,destination_airport,date,travel_duration,departure_time,arrival_time,transit,transit_duration,price
110,Lufthansa,17-08-2024,Frankfurt,München,18-08-2024,00:55,07:15,08:10,False,00:00,189.0
111,Lufthansa,17-08-2024,Frankfurt,London,18-08-2024,01:25,16:50,17:15,False,00:00,339.6
112,Lufthansa,17-08-2024,Frankfurt,Palma de Mallorca,18-08-2024,02:10,04:50,07:00,False,00:00,315.98
113,Lufthansa,17-08-2024,Frankfurt,Istanbul,18-08-2024,03:00,09:05,13:05,False,00:00,243.65
114,Lufthansa,17-08-2024,Frankfurt,Dubai,18-08-2024,11:15,07:50,21:05,True,03:55,1646.79
115,Lufthansa,17-08-2024,Frankfurt,New York,18-08-2024,11:25,08:55,14:20,True,01:40,1446.41
116,Lufthansa,17-08-2024,Frankfurt,Shanghai,18-08-2024,12:15,15:00,09:15,False,00:00,1521.76
117,Lufthansa,18-08-2024,Frankfurt,Berlin,19-08-2024,01:10,11:45,12:55,False,00:00,333.6
118,Lufthansa,18-08-2024,Frankfurt,Hamburg,19-08-2024,01:05,20:15,21:20,False,00:00,313.08
119,Lufthansa,18-08-2024,Frankfurt,München,19-08-2024,00:55,12:15,13:10,False,00:00,369.0
120,Lufthansa,18-08-2024,Frankfurt,London,19-08-2024,01:25,18:10,18:35,False,00:00,273.52
121,Lufthansa,18-08-2024,Frankfurt,Palma de Mallorca,19-08-2024,02:05,10:20,12:25,False,00:00,315.98
122,Lufthansa,18-08-2024,Frankfurt,Istanbul,19-08-2024,03:00,09:05,13:05,False,00:00,299.65
123,Lufthansa,18-08-2024,Frankfurt,Dubai,19-08-2024,11:35,07:30,21:05,True,03:10,933.66
124,Lufthansa,18-08-2024,Frankfurt,New York,19-08-2024,10:55,07:50,12:45,True,01:15,1601.42
125,Lufthansa,18-08-2024,Frankfurt,Shanghai,19-08-2024,12:15,15:00,09:15,False,00:00,1521.76
126,Lufthansa,19-08-2024,Frankfurt,Berlin,20-08-2024,01:10,14:45,15:55,False,00:00,333.6
127,Lufthansa,19-08-2024,Frankfurt,Hamburg,20-08-2024,01:05,20:15,21:20,False,00:00,313.08
128,Lufthansa,19-08-2024,Frankfurt,München,20-08-2024,00:55,13:15,14:10,False,00:00,369.0
129,Lufthansa,19-08-2024,Frankfurt,London,20-08-2024,01:25,16:00,16:25,False,00:00,235.6
130,Lufthansa,19-08-2024,Frankfurt,Palma de Mallorca,20-08-2024,02:05,10:20,12:25,False,00:00,315.98
131,Lufthansa,19-08-2024,Frankfurt,Istanbul,20-08-2024,03:00,09:05,13:05,False,00:00,243.65
132,Lufthansa,19-08-2024,Frankfurt,Dubai,20-08-2024,25:25,17:40,21:05,True,14:58,933.68
133,Lufthansa,19-08-2024,Frankfurt,New York,20-08-2024,12:05,06:40,12:45,True,02:25,1600.94
134,Lufthansa,19-08-2024,Frankfurt,Shanghai,20-08-2024,12:15,15:00,09:15,False,00:00,1521.76
135,Lufthansa,20-08-2024,Frankfurt,Berlin,21-08-2024,01:10,11:45,12:55,False,00:00,333.6
136,Lufthansa,20-08-2024,Frankfurt,Hamburg,21-08-2024,01:05,20:15,21:20,False,00:00,313.08
137,Lufthansa,20-08-2024,Frankfurt,München,21-08-2024,00:55,13:15,14:10,False,00:00,369.0
138,Lufthansa,20-08-2024,Frankfurt,London,21-08-2024,01:25,06:50,07:15,False,00:00,235.69
139,Lufthansa,20-08-2024,Frankfurt,Palma de Mallorca,21-08-2024,02:05,10:20,12:25,False,00:00,315.98
140,Lufthansa,20-08-2024,Frankfurt,Istanbul,21-08-2024,03:00,09:05,13:05,False,00:00,243.65
141,Lufthansa,20-08-2024,Frankfurt,Dubai,21-08-2024,12:25,06:40,21:05,True,05:05,1019.79
142,Lufthansa,20-08-2024,Frankfurt,New York,21-08-2024,11:10,15:00,20:10,True,01:25,1452.84
143,Lufthansa,20-08-2024,Frankfurt,Shanghai,21-08-2024,12:15,15:00,09:15,False,00:00,1521.76
144,Lufthansa,21-08-2024,Frankfurt,Berlin,22-08-2024,01:10,09:45,10:55,False,00:00,333.6
145,Lufthansa,21-08-2024,Frankfurt,Hamburg,22-08-2024,01:05,20:15,21:20,False,00:00,313.08
146,Lufthansa,21-08-2024,Frankfurt,München,22-08-2024,00:55,13:15,14:10,False,00:00,369.0
147,Lufthansa,21-08-2024,Frankfurt,London,22-08-2024,01:25,08:15,08:40,False,00:00,235.67
148,Lufthansa,21-08-2024,Frankfurt,Palma de Mallorca,22-08-2024,02:05,10:20,12:25,False,00:00,315.98
