Date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,City
2024-08-25,26.9,23.0,31.3,0.0,,41.0,22.7,,1011.7,,Istanbul
2024-08-25,16.7,11.7,23.6,6.7,0.0,251.0,9.4,42.1,1020.7,61.0,Munich
2024-08-26,17.6,11.3,23.9,0.0,,17.0,7.6,16.7,1022.4,,Frankfurt
2024-08-26,17.8,11.3,24.7,0.0,,192.0,8.1,24.1,1022.1,,Berlin
2024-08-26,16.5,11.7,20.7,0.0,,202.0,13.3,38.9,1021.3,,Hamburg
2024-08-26,24.3,18.2,30.4,0.0,,229.0,14.4,,1019.9,,New_York
2024-08-26,17.4,13.4,22.1,0.0,,219.0,18.8,38.9,1019.2,,London
2024-08-26,30.7,27.6,33.6,0.0,,98.0,9.0,,1004.6,,Shanghai
2024-08-26,25.0,22.1,28.6,0.0,,61.0,19.8,,1017.1,,Palma
2024-08-26,14.6,12.3,16.3,0.6,0.0,73.0,5.4,18.0,1022.5,0.0,Munich
2024-08-26,27.8,24.8,31.9,0.0,,49.0,18.2,,1010.2,,Istanbul
2024-08-26,36.5,33.6,40.1,0.0,,6.0,12.9,,999.8,,Dubai
2024-08-27,20.1,12.9,27.0,0.0,0.0,54.0,10.0,22.2,1021.1,,Frankfurt
2024-08-27,24.6,20.0,29.6,0.0,,159.0,9.8,,1015.8,,Palma
2024-08-27,19.2,12.0,26.5,0.0,,120.0,9.5,25.9,1023.1,,Berlin
2024-08-27,24.0,18.0,30.6,0.0,,131.0,13.3,,1017.5,,New_York
2024-08-27,18.4,14.2,23.7,0.0,,176.0,14.7,37.0,1017.7,,London
2024-08-27,26.4,23.4,30.0,0.5,,35.0,17.1,,1011.6,,Istanbul
2024-08-27,30.7,28.3,33.9,1.2,,206.0,9.7,,1001.4,,Shanghai
2024-08-27,36.9,33.1,40.8,,,11.0,12.1,,999.1,,Dubai
2024-08-27,18.8,12.7,25.0,0.0,,157.0,9.2,27.8,1022.7,,Hamburg
2024-08-27,18.3,12.9,24.6,0.0,0.0,77.0,8.6,31.7,1019.9,380.0,Munich
2024-08-28,21.5,14.8,27.7,,,108.0,13.5,33.3,1019.2,,Hamburg
2024-08-28,25.4,20.0,28.9,,,55.0,10.8,,1013.9,,Istanbul
2024-08-28,22.0,15.1,29.3,,,107.0,13.7,31.5,1020.5,,Berlin
2024-08-28,29.3,27.0,31.6,,,262.0,8.5,,1003.0,,Shanghai
2024-08-28,15.4,9.4,21.7,0.0,,243.0,13.2,,1013.6,,New_York
2024-08-28,19.2,14.2,24.7,,,162.0,10.4,25.9,1013.9,,London
2024-08-28,20.6,13.4,28.5,,,258.0,8.8,22.2,1017.0,,Frankfurt
2024-08-28,36.5,32.7,40.7,,,342.0,12.3,,999.6,,Dubai
2024-08-28,21.1,14.6,29.6,,,32.0,5.2,17.0,1017.0,,Munich
2024-08-28,25.9,20.7,30.5,,,134.0,10.1,,1015.5,,Palma
2024-08-29,15.7,9.4,21.7,0.0,,41.0,12.3,,1017.2,,New_York
2024-08-29,36.4,32.5,40.5,,,303.0,11.7,,998.8,,Dubai
2024-08-29,23.2,17.5,29.4,,,251.0,7.1,22.2,1017.0,,Munich
2024-08-29,17.0,12.7,21.4,,,247.0,11.3,29.6,1017.7,,London
2024-08-29,25.7,22.6,28.0,,,193.0,10.2,,1012.6,,Istanbul
2024-08-29,24.6,19.4,30.7,,,138.0,12.8,29.6,1016.0,,Berlin
2024-08-29,22.4,17.5,27.6,,,186.0,13.4,33.3,1015.2,,Hamburg
2024-08-29,26.2,20.9,30.9,,,97.0,9.8,,1017.1,,Palma
2024-08-29,28.7,26.5,30.9,,,313.0,8.7,,1005.8,,Shanghai
2024-08-29,21.4,15.1,28.2,,,264.0,9.8,25.9,1016.5,,Frankfurt
2024-08-30,13.4,10.0,20.0,0.0,,105.0,12.0,,1019.8,,New_York
2024-08-30,24.8,22.7,26.9,,,320.0,13.7,,1011.1,,Istanbul
2024-08-30,29.4,26.6,32.4,,,336.0,6.8,,1006.8,,Shanghai
